"u_audit_state","u_error_description","u_instance_name","u_audit_payload"
"Completed","","10xgenomics","*** Script: [{}]
"
"Completed","","1199funds","*** Script: [{}]
"
"Completed","","119temp","*** Script: [{}]
"
"Completed","","1800accident","*** Script: [{}]
"
"Completed","","1christus","*** Script: [{}]
"
"Completed","","1desk","*** Script: [{""Row0"":{""function_definition"":""glidefunction:concat(topic.cb_topic_id.description, '')"",""internal_type"":""string"",""name"":""sys_cs_context_profile_promotion""},""Row1"":{""function_definition"":""glidefunction:multiply(divide(total_workload,total_capacity),'100')"",""internal_type"":""percent_complete"",""name"":""awa_queue_metrics""},""Row2"":{""function_definition"":""glidefunction:multiply(divide(workload,applied_max_capacity),'100')"",""internal_type"":""percent_complete"",""name"":""awa_agent_capacity""}}]
"
"Completed","","1net","*** Script: [{}]
"
"Completed","","247support","*** Script: [{}]
"
"Completed","","24x7noc","*** Script: [{}]
"
"Completed","","271call","*** Script: [{}]
"
"Completed","","2harvest","*** Script: [{""Row0"":{""function_definition"":""glidefunction:multiply(divide(workload,applied_max_capacity),'100')"",""internal_type"":""percent_complete"",""name"":""awa_agent_capacity""},""Row1"":{""function_definition"":""glidefunction:concat(topic.cb_topic_id.description, '')"",""internal_type"":""string"",""name"":""sys_cs_context_profile_promotion""},""Row2"":{""function_definition"":""glidefunction:multiply(divide(total_workload,total_capacity),'100')"",""internal_type"":""percent_complete"",""name"":""awa_queue_metrics""}}]
"
"Completed","","2iretegas","*** Script: [{}]
"
"Completed","","2ndgplat","*** Script: [{}]
"
"Completed","","2sinovacoes","*** Script: [{}]
"
"Completed","","3ezoty","*** Script: [{}]
"
"Completed","","3shealth","*** Script: [{""Row0"":{""function_definition"":""glidefunction:multiply(divide(workload,applied_max_capacity),'100')"",""internal_type"":""percent_complete"",""name"":""awa_agent_capacity""},""Row1"":{""function_definition"":""glidefunction:concat(topic.cb_topic_id.description, '')"",""internal_type"":""string"",""name"":""sys_cs_context_profile_promotion""},""Row2"":{""function_definition"":""glidefunction:multiply(divide(total_workload,total_capacity),'100')"",""internal_type"":""percent_complete"",""name"":""awa_queue_metrics""}}]
"
"Completed","","3stepit","*** Script: [{""Row0"":{""function_definition"":""glidefunction:concat(topic.cb_topic_id.description, '')"",""internal_type"":""string"",""name"":""sys_cs_context_profile_promotion""},""Row1"":{""function_definition"":""glidefunction:multiply(divide(total_workload,total_capacity),'100')"",""internal_type"":""percent_complete"",""name"":""awa_queue_metrics""},""Row2"":{""function_definition"":""glidefunction:multiply(divide(workload,applied_max_capacity),'100')"",""internal_type"":""percent_complete"",""name"":""awa_agent_capacity""}}]
"
"Completed","","3tlogistics","*** Script: [{}]
"
